GSS_CODE,year_2019
E09000001,35
E09000002,25.7
E09000003,21.7
E09000004,20.8
E09000005,23
E09000006,19.1
E09000007,25.8
E09000008,21
E09000009,23.6
E09000010,28.7
E09000011,19.3
E09000012,24.2
E09000013,21.4
E09000014,20.9
E09000015,27.5
E09000016,20.7
E09000017,24
E09000018,25.6
E09000019,19.5
E09000020,30.1
E09000021,19.3
E09000022,16.7
E09000023,16.1
E09000024,15.8
E09000025,25.2
E09000026,26.8
E09000027,17.9
E09000028,18.6
E09000029,16.5
E09000030,25.8
E09000031,20.2
E09000032,16.1
E09000033,24.9
