"area_code","year_2004","year_2005","year_2006","year_2007","year_2008","year_2009","year_2010","year_2011","year_2012","year_2013","year_2014","year_2015","year_2016","year_2017","year_2018","year_2019"
"E09000002","23.4","21","22.9","16.9","19.7","19.7","14.8","18.9","16.8","17.1","20.4","16.4","20","16.2","17.7","17.9"
"E09000003","16.2","18.5","18.7","21.1","19.4","18.3","19.1","14.7","20.3","16.4","17.9","16.9","19.5","18.5","19.9","17.5"
"E09000004","15.8","13.8","14.5","17","16.6","17.7","17.1","18.5","14.8","13.8","13.3","11.6","11.4","16.4","15.8","17.6"
"E09000005","21.9","17","18.6","15.7","15.5","16.4","21.8","24.1","19.1","15.7","19.3","17","15.2","17.1","15.2","14.2"
"E09000006","12.8","12.3","11.1","9.3","12.8","10.6","16.5","16.7","14.9","14.5","15.3","13.1","11.5","10.2","11.4","11.9"
"E09000007","18.7","22.7","19.2","21.6","19.5","22.7","19.3","24","18.4","24","20.4","25.1","22.6","23","17.7","22"
"E09000008","13.5","15.5","15.3","15.2","15.7","16.2","13.2","17.7","14.9","15.8","11.7","14.2","10.3","14.6","17.7","16.2"
"E09000009","16.7","17.9","16.6","17.9","17.4","16.7","18.1","16.6","15.1","15.2","15.2","13.4","15.9","14.7","14.9","12.4"
"E09000010","19.1","15.3","16","19.4","15.1","22","21.1","17.9","19","18","18.5","16.8","18.9","21.4","18.3","23.8"
"E09000011","19.3","15.8","21","15.1","19.2","16.7","17.2","15.2","15.7","20.8","17.2","16.3","14.6","14.1","19","14.7"
"E09000012","24.3","31.9","23.3","22","22.8","18.7","18.3","24","23.9","21.1","21.2","22.5","22.3","17.4","17.5","20.2"
"E09000013","15.8","19.8","19.3","16.2","17.2","21.7","19.8","20.5","13.7","17.8","11.4","15.1","14","16.3","14","12.7"
"E09000014","29.2","20.8","19","22.5","22","25.6","24.7","23","16.9","19.7","17.8","17","18.3","20.6","16.5","18"
"E09000015","14.8","17.8","15.1","15.7","16.4","15.4","14.5","10.4","16.4","14.6","11.1","13","14","11.1","12.9","18.6"
"E09000016","15.3","14.7","16.1","13.3","10.8","13.9","18.9","16.5","15","14.8","8.6","14.3","10.8","17","11.8","17.4"
"E09000017","13.5","15.5","16","21.1","13.1","18.1","19.4","15.6","14.9","14","14.3","13.3","13.7","14.8","15.1","15.6"
"E09000018","16.7","16","11.7","18.5","13","18.3","15.5","16.7","14","11","10.4","12","11.7","10.4","7.5","14.9"
"E09000019","21.1","28.5","19.7","21.6","22.6","18.8","23.5","18.5","26.6","19.2","19.8","17.7","21.3","13","18","15.8"
"E09000020","20.3","17.3","20.5","21.5","23.3","23.4","23.1","19.1","18.6","18.8","18.4","21","20.4","21.2","31.4","27"
"E09000021","16.4","20.6","16.4","17","16.9","17","17.5","21.3","19.9","19.7","14.3","15.8","16.7","16.3","13","14.1"
"E09000022","15.7","22.1","18.6","17.6","20","14.3","13.4","13.3","12.4","12.3","9.3","11.3","15.4","13.5","15","13.3"
"E09000023","16","14.4","17.8","20.2","16.9","15.9","18.8","19.3","17.9","12.8","15.9","15.8","13.3","9.9","8.5","12.8"
"E09000024","9.6","16.5","14.4","11","7.9","13.2","12.8","14.4","13.3","11.5","12.7","10.8","11.6","15.9","9.8","10"
"E09000025","26.5","26.8","22","24.2","20.6","26.2","23.9","24.1","16.5","19.3","23.1","18.6","14.6","15.2","17.9","19.5"
"E09000026","14.8","21.2","17.6","19","18.9","18.2","18.5","17.5","20.8","16.1","17","16.3","11.6","14","16","14.2"
"E09000027","17.9","17.4","15.3","10","12.8","13.7","11.2","21.1","15.6","11.8","10.2","15.8","15.3","17.5","14.5","13"
"E09000028","22.1","20.2","17.8","20.5","17.7","16.4","16.7","21.3","16","19","15.8","14.4","15.7","10.3","13.9","16.4"
"E09000029","16.3","11.2","11.5","13.1","15.2","11.5","10.3","10.7","11.4","11.1","10.2","11.4","11","11.1","10.4","12.9"
"E09000030","27.6","18.6","26.6","24.9","18.2","17.8","16.9","19","17.9","16.6","13.7","12.8","14.5","20.5","13.3","12.3"
"E09000031","24","17.4","23.5","20","19","19.4","19.3","14.7","14.6","14.3","17.4","16.5","11.5","12.1","15.2","14.5"
"E09000032","11.8","17.6","15.3","16.5","13.7","10.6","14","12.2","12.8","10.9","12.2","9.2","9.4","16.2","11.5","13.9"
"E09000033","20.7","22.9","26.7","23.2","22.7","17.5","24.3","23.4","22.3","21","21","23.2","18.6","21.8","21.3","18.7"
